<<<<<<< HEAD
=======
id,interviewId,userId,overallScore,resumeScore,technicalScore,codingScore,recommendation,createdAt
6a8740f661516ea2a38c2ae5,6a8740ee61516ea2a38c2acb,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:01:26.303Z
6a87412061516ea2a38c2b01,6a87411361516ea2a38c2aeb,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:02:08.609Z
6a87416661516ea2a38c2b1e,6a87412461516ea2a38c2b07,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:03:18.164Z
6a87430f13ea347d3147be6d,6a8742da13ea347d3147b8ba,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:10:23.565Z
6a87432a13ea347d3147be8d,6a87432213ea347d3147be77,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:10:50.856Z
6a8748a058d625f1fdd0b9d2,6a874694c976f0ceb619eb36,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T18:34:08.131Z
6a874c3b84853c9b5438a5a6,6a874aa384853c9b5438a586,6a870b4da877b7cdfe747f93,58,0,0,0,Needs Practice,2026-08-20T18:49:31.375Z
6a8751f6ef8eada7220532c5,6a87515aef8eada72205284a,6a870b4da877b7cdfe747f93,28,8,8,85,Needs Practice,2026-08-20T19:13:58.330Z
6a888a4655a32ab3ddc77314,6a8889f755a32ab3ddc77294,6a870b4da877b7cdfe747f93,17,0,0,0,Needs Practice,2026-08-21T17:26:30.497Z
6a888fdbb1f1fe765042f9ef,6a888f5db1f1fe765042ef96,6a870b4da877b7cdfe747f93,26,0,0,85,Needs Practice,2026-08-21T17:50:19.540Z
6a889012b1f1fe765042fa9b,6a888ffeb1f1fe765042fa51,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T17:51:14.209Z
6a8893fbdb7117b3e70a07b0,6a8893dadb7117b3e70a0757,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:07:55.486Z
6a88941bdb7117b3e70a07e6,6a889409db7117b3e70a07b6,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:08:27.647Z
6a8898a4bc1bcf448e92e392,6a889894bc1bcf448e92e118,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:27:48.635Z
6a8898fabc1bcf448e92e3f3,6a8898d5bc1bcf448e92e3b5,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:29:14.377Z
6a8899c9bc1bcf448e92e4e8,6a8899c1bc1bcf448e92e4bf,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:32:41.301Z
6a889be6c0fda4a8db8fa107,6a889b75c0fda4a8db8f9ae5,6a870b4da877b7cdfe747f93,26,0,0,85,Needs Practice,2026-08-21T18:41:42.503Z
6a889c3fc0fda4a8db8fa674,6a889beec0fda4a8db8fa1cb,6a870b4da877b7cdfe747f93,26,0,0,85,Needs Practice,2026-08-21T18:43:11.802Z
6a889c52c0fda4a8db8fa6b9,6a889c45c0fda4a8db8fa67d,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:43:30.192Z
6a889d58c0fda4a8db8fa820,6a889ce8c0fda4a8db8fa73a,6a870b4da877b7cdfe747f93,26,40,40,0,Needs Practice,2026-08-21T18:47:52.386Z
6a889df6c0fda4a8db8fa881,6a889dd1c0fda4a8db8fa82f,6a870b4da877b7cdfe747f93,26,0,0,85,Needs Practice,2026-08-21T18:50:30.920Z
6a889ec8c0fda4a8db8fa971,6a889e91c0fda4a8db8fa8fc,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T18:54:00.226Z
6a88a35781196fd1412d220c,6a88a32a81196fd1412d1b08,6a870b4da877b7cdfe747f93,20,20,20,0,Needs Practice,2026-08-21T19:13:27.668Z
6a88a457bbaa740319311c97,6a88a448bbaa740319311ad1,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T19:17:43.825Z
6a88a4a6bbaa74031931257d,6a88a45cbbaa740319311d1b,6a870b4da877b7cdfe747f93,8,8,8,0,Needs Practice,2026-08-21T19:19:02.136Z
6a88a4e9bbaa7403193125c3,6a88a4d5bbaa74031931258a,6a870b4da877b7cdfe747f93,3,3,3,0,Needs Practice,2026-08-21T19:20:09.434Z
6a88a550bbaa74031931269e,6a88a51dbbaa740319312626,6a870b4da877b7cdfe747f93,2,2,2,0,Needs Practice,2026-08-21T19:21:52.487Z
6a88a8af6967ff17b22256dc,6a88a88f6967ff17b2225687,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-21T19:36:15.152Z
6a896a2362690d694f59aa8e,6a89689662690d694f59a569,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-22T09:21:39.940Z
6a897028a5b639e39760cba8,6a896b0e62690d694f59ab95,6a870b4da877b7cdfe747f93,16,0,0,53,Needs Practice,2026-08-22T09:47:20.377Z
6a897d5f0858492f34376aa2,6a897d0dc641ce00db6d37e7,6a870b4da877b7cdfe747f93,27,0,0,27,Needs Practice,2026-08-22T10:43:43.187Z
6a897fe324b1dd8b7a02905f,6a897d640858492f34376b48,6a870b4da877b7cdfe747f93,27,0,0,27,Needs Practice,2026-08-22T10:54:27.099Z
6a89848aa5cd87419fec3608,6a8980ef17304b9568b88d3c,6a870b4da877b7cdfe747f93,80,0,0,80,Highly Recommended,2026-08-22T11:14:18.787Z
>>>>>>> ee891a659c17f7eb242321c5addac9c3732fc708
>>>>>>> bbd9d263ae496b632e0d7eff43db864b40a8d88b
